Timing,Site,Bag,Shell,Oyster,Height_mm,Length_mm,Dead.Alive
Deployment,Wagon Hill Farm,15,6,1,20,18,
Deployment,Wagon Hill Farm,15,6,2,30,12,
Deployment,Wagon Hill Farm,15,6,3,21,11,
Deployment,Wagon Hill Farm,15,6,4,20,17,
Deployment,Wagon Hill Farm,15,6,5,19,16,
Deployment,Wagon Hill Farm,15,6,6,10,12,
Deployment,Wagon Hill Farm,15,6,7,8,7,
Deployment,Wagon Hill Farm,15,6,8,20,18,
Deployment,Wagon Hill Farm,16,1,1,19,16,
Deployment,Wagon Hill Farm,16,1,2,20,16,
Deployment,Wagon Hill Farm,16,1,3,19,12,
Deployment,Wagon Hill Farm,16,1,4,22,17,
Deployment,Wagon Hill Farm,16,1,5,20,22,
Deployment,Wagon Hill Farm,16,2,1,26,24,
Deployment,Wagon Hill Farm,16,2,2,19,13,
Deployment,Wagon Hill Farm,16,2,3,17,15,
Deployment,Wagon Hill Farm,16,3,1,15,14,
Deployment,Wagon Hill Farm,16,3,2,24,20,
Deployment,Wagon Hill Farm,16,3,3,20,15,
Deployment,Wagon Hill Farm,16,3,4,35,24,
Deployment,Wagon Hill Farm,16,3,5,30,21,
Deployment,Wagon Hill Farm,16,4,1,25,21,
Deployment,Wagon Hill Farm,16,4,2,20,15,
Deployment,Wagon Hill Farm,16,4,3,20,13,
Deployment,Wagon Hill Farm,16,4,4,15,14,
Deployment,Wagon Hill Farm,16,4,5,10,9,
Deployment,Wagon Hill Farm,16,4,6,20,18,
Deployment,Wagon Hill Farm,16,5,1,16,14,
Deployment,Wagon Hill Farm,16,5,2,20,14,
Deployment,Wagon Hill Farm,16,5,3,20,16,
Deployment,Wagon Hill Farm,16,5,4,20,21,
Deployment,Wagon Hill Farm,16,5,5,17,11,
Deployment,Wagon Hill Farm,16,5,6,18,8,
Deployment,Wagon Hill Farm,16,6,1,22,20,
Deployment,Wagon Hill Farm,16,6,2,25,12,
Deployment,Wagon Hill Farm,16,6,3,25,18,
Deployment,Wagon Hill Farm,16,6,4,10,11,
Deployment,Wagon Hill Farm,17,1,1,20,23,
Deployment,Wagon Hill Farm,17,1,2,29,16,
Deployment,Wagon Hill Farm,17,1,3,21,10,
Deployment,Wagon Hill Farm,17,1,4,27,16,
Deployment,Wagon Hill Farm,17,2,1,17,14,
Deployment,Wagon Hill Farm,17,2,2,17,10,
Deployment,Wagon Hill Farm,17,3,1,16,15,
Deployment,Wagon Hill Farm,17,3,2,20,17,
Deployment,Wagon Hill Farm,17,3,3,20,16,
Deployment,Wagon Hill Farm,17,3,4,27,26,
Deployment,Wagon Hill Farm,17,3,5,10,9,
Deployment,Wagon Hill Farm,17,4,1,26,25,
Deployment,Wagon Hill Farm,17,4,2,10,12,
Deployment,Wagon Hill Farm,17,5,1,21,20,
Deployment,Wagon Hill Farm,17,5,2,25,21,
Deployment,Wagon Hill Farm,17,5,3,20,19,
Deployment,Wagon Hill Farm,17,5,4,10,9,
Deployment,Wagon Hill Farm,17,5,5,20,19,
Deployment,Wagon Hill Farm,17,6,1,30,27,
Deployment,Wagon Hill Farm,17,6,2,21,20,
Deployment,Wagon Hill Farm,17,6,3,10,9,
Deployment,Wagon Hill Farm,18,1,1,29,20,
Deployment,Wagon Hill Farm,18,1,2,18,18,
Deployment,Wagon Hill Farm,18,1,3,20,16,
Deployment,Wagon Hill Farm,18,1,4,21,18,
Deployment,Wagon Hill Farm,18,1,5,20,14,
Deployment,Wagon Hill Farm,18,2,1,21,11,
Deployment,Wagon Hill Farm,18,2,2,9,8,
Deployment,Wagon Hill Farm,18,2,3,15,8,
Deployment,Wagon Hill Farm,18,3,1,21,19,
Deployment,Wagon Hill Farm,18,3,2,16,15,
Deployment,Wagon Hill Farm,18,3,3,20,15,
Deployment,Wagon Hill Farm,18,3,4,14,11,
Deployment,Wagon Hill Farm,18,4,1,21,18,
Deployment,Wagon Hill Farm,18,4,2,26,19,
Deployment,Wagon Hill Farm,18,4,3,17,6,
Deployment,Wagon Hill Farm,18,5,1,20,17,
Deployment,Wagon Hill Farm,18,5,2,15,10,
Deployment,Wagon Hill Farm,18,6,1,15,10,
Deployment,Wagon Hill Farm,19,1,1,26,15,
Deployment,Wagon Hill Farm,19,1,2,25,17,
Deployment,Wagon Hill Farm,19,1,3,18,16,
Deployment,Wagon Hill Farm,19,1,4,15,12,
Deployment,Wagon Hill Farm,19,2,1,22,17,
Deployment,Wagon Hill Farm,19,2,2,13,12,
Deployment,Wagon Hill Farm,19,2,3,14,10,
Deployment,Wagon Hill Farm,19,3,1,21,18,
Deployment,Wagon Hill Farm,19,3,2,15,14,
Deployment,Wagon Hill Farm,19,3,3,10,12,
Deployment,Wagon Hill Farm,19,3,4,9,8,
Deployment,Wagon Hill Farm,19,4,1,31,17,
Deployment,Wagon Hill Farm,19,4,2,20,16,
Deployment,Wagon Hill Farm,19,4,3,18,16,
Deployment,Wagon Hill Farm,19,4,4,19,19,
Deployment,Wagon Hill Farm,19,4,5,10,16,
Deployment,Wagon Hill Farm,19,4,6,17,14,
Deployment,Wagon Hill Farm,19,4,7,29,18,
Deployment,Wagon Hill Farm,19,4,8,15,12,
Deployment,Wagon Hill Farm,19,4,9,13,10,
Deployment,Wagon Hill Farm,19,4,10,29,19,
