system:index,B,G,N,R,training_poly,.geo
223,133.0,147.0,101.0,136.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7338260702481,43.06197832778491]}"
224,128.0,147.0,129.0,124.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90290697302507,43.05689386327679]}"
225,122.0,132.0,93.0,100.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83502128700415,43.1855954940326]}"
226,123.0,135.0,132.0,102.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83503925330984,43.185604477185436]}"
227,142.0,152.0,123.0,143.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73986274895738,43.0486742784271]}"
228,147.0,157.0,123.0,149.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73987173211022,43.0486742784271]}"
229,110.0,122.0,121.0,90.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84068965644695,43.067970090729986]}"
230,122.0,144.0,152.0,105.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8349853543928,43.18532599944736]}"
231,118.0,133.0,155.0,98.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83516501744961,43.185604477185436]}"
232,118.0,144.0,157.0,107.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83486857340586,43.18534396575304]}"
233,132.0,153.0,125.0,135.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73366437349695,43.06211307507753]}"
234,129.0,142.0,135.0,119.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7400424120142,43.048764109955506]}"
235,144.0,150.0,127.0,138.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.76639898245027,43.08449010880494]}"
236,126.0,150.0,166.0,115.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8347248429604,43.18555057826839]}"
237,142.0,158.0,141.0,141.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86159345310841,43.16892276235934]}"
238,141.0,159.0,150.0,139.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86118022807771,43.168931745512175]}"
239,142.0,157.0,143.0,142.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75110965631455,43.048862924636765]}"
240,159.0,175.0,152.0,166.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90314951815178,43.056714200219965]}"
241,128.0,146.0,108.0,128.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73381708709525,43.06209510877184]}"
242,131.0,150.0,162.0,115.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8350751859212,43.185361932058726]}"
243,144.0,167.0,175.0,140.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75140610035831,43.04881800887256]}"
244,139.0,151.0,133.0,133.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74858539036617,43.06909298483513]}"
